City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,25.05,68,61,5.25,PF,1667760078
1,mataura,-46.1927,168.8643,7.81,76,5,1.45,NZ,1667760078
2,cabo san lucas,22.8909,-109.9124,28.67,60,20,2.57,MX,1667759909
3,hami,42.8,93.45,8.6,25,39,2.28,CN,1667760079
4,bluff,-46.6,168.3333,9.38,74,0,5.78,NZ,1667760080
5,katsuura,35.1333,140.3,16.16,62,100,3.32,JP,1667760080
6,vaini,-21.2,-175.2,22.09,83,20,1.54,TO,1667760080
7,nybro,56.7446,15.9071,9.58,91,100,4.19,SE,1667759869
8,tiksi,71.6872,128.8694,-16.8,92,100,10.35,RU,1667760081
9,albany,42.6001,-73.9662,22.52,81,100,0.45,US,1667760081
10,bredasdorp,-34.5322,20.0403,18.56,89,100,4.04,ZA,1667760082
11,carnarvon,-24.8667,113.6333,19.27,76,100,7.87,AU,1667760083
12,madimba,-10.4,40.3333,25.62,83,40,5.14,TZ,1667760083
13,hermanus,-34.4187,19.2345,20.45,79,100,3.97,ZA,1667760084
14,jamestown,42.097,-79.2353,21.96,62,100,8.23,US,1667759990
15,clyde river,70.4692,-68.5914,-14.87,51,0,3.09,CA,1667760085
16,busselton,-33.65,115.3333,14.37,80,100,4.71,AU,1667760085
17,zyryanka,65.75,150.85,-27.0,98,33,2.41,RU,1667760086
18,alenquer,-1.9417,-54.7383,26.73,76,100,1.18,BR,1667760086
19,butaritari,3.0707,172.7902,26.11,76,48,2.92,KI,1667760087
20,ushuaia,-54.8,-68.3,8.81,81,75,3.09,AR,1667760087
21,ternate,0.8,127.4,27.02,80,100,1.41,ID,1667760087
22,leningradskiy,69.3833,178.4167,-6.01,76,6,3.87,RU,1667760088
23,faya,18.3851,42.4509,17.06,71,30,1.01,SA,1667760088
24,yerbogachen,61.2767,108.0108,-8.11,95,100,2.62,RU,1667760089
25,khatanga,71.9667,102.5,-29.44,100,26,2.13,RU,1667760089
26,qaanaaq,77.484,-69.3632,-16.45,85,100,1.32,GL,1667760090
27,yagodnoye,62.55,149.6667,-22.43,100,99,0.82,RU,1667760090
28,hobart,-42.8794,147.3294,10.15,94,13,2.02,AU,1667760009
29,saldanha,-33.0117,17.9442,18.03,92,100,4.79,ZA,1667760091
30,rikitea,-23.1203,-134.9692,22.05,71,100,5.99,PF,1667760091
31,neuquen,-38.9516,-68.0591,32.94,19,0,3.6,AR,1667760092
32,cururupu,-1.8283,-44.8683,28.18,73,16,1.76,BR,1667760093
33,gizo,-8.103,156.8419,27.87,72,100,1.08,SB,1667760093
34,bilibino,68.0546,166.4372,-14.76,95,95,1.44,RU,1667760093
35,hilo,19.7297,-155.09,26.45,82,100,2.57,US,1667760094
36,georgetown,5.4112,100.3354,27.91,90,20,1.03,MY,1667759824
37,rocafuerte,-0.9167,-80.4333,23.93,58,2,5.9,EC,1667760094
38,cape town,-33.9258,18.4232,20.15,73,0,1.79,ZA,1667760095
39,ostrovnoy,68.0531,39.5131,1.23,89,100,7.85,RU,1667760095
40,moriyama,35.0667,135.9833,9.64,68,100,0.62,JP,1667760096
41,pimenta bueno,-11.6725,-61.1936,33.68,33,0,1.78,BR,1667760096
42,new norfolk,-42.7826,147.0587,9.95,67,15,1.25,AU,1667760097
43,morehead,37.2711,-87.1764,22.77,34,0,2.57,US,1667760097
44,rio gallegos,-51.6226,-69.2181,21.03,35,0,7.2,AR,1667760062
45,punta arenas,-53.15,-70.9167,18.06,45,0,9.26,CL,1667760098
46,naze,28.3667,129.4833,18.51,68,100,3.07,JP,1667760098
47,biryusinsk,55.9634,97.8235,2.95,77,100,3.92,RU,1667760098
48,port hedland,-20.3167,118.5667,23.03,78,82,6.17,AU,1667760099
49,rabo de peixe,37.8,-25.5833,19.04,99,40,3.6,PT,1667760100
